id,title,firstName,lastName,gender,nationality,residentialStatus,email,phone,dualNationality,countyOfBirth,ethnicOrigin,highestQualificationOnEntry,highestQualification,lastInstitutionAttended,currentUKInstitution,uniqueLearnerNumber,nameOfQualification,yearAchieved,subject,grade,passportNo,passportPlaceOfIssue,timeInPublicCare,disabilityOrSpecialNeeds,personalStatement,documentIds,permHouseNumberOrName,permStreet,permCityOrTown,permCountyStateOrProvince,permCountry,permPostCode,curHouseNumberOrName,curStreet,curCityOrTown,curCountyStateOrProvince,curCountry,curPostCode,nokName,nokRelation,nokPhone,nokEmail
1,MR,Evan,Tomkiewicz,FEMALE,United Kingdom,RESIDENT,atomkiewicz@hotmail.com,01835-703597,,Russia,Caribbean,international Baccalaureate diploma,level 3 diploma,Hazlerigg Building at the Loughborough University,University of Liverpool,N/A,AAT Access Award in Accounting Software – Level 1,2016,Food Science,PASS,AGUJ37849,Russia,3,YES,,AGUJ37849,14,TaylorSt,St. Stephens Ward,Kent,UK,DL3 0JF,14,TaylorSt,St. Stephens Ward,Kent,UK,DL3 0JF,Carrol Kunimitsu,COUSIN,01260-641258,carrol_kunimitsu@yahoo.com
2,MR,Andrade,Zigomalas,MALE,DR Congo,RESIDENT,evan.zigomalas@gmail.com,01937-864715,YES,Bangladesh,Arab,A level,advanced apprenticeship,"Foxhill House, home of the School of Law, at the University of Reading","University of the West of England, Bristol",N/A,AAT Access Award in Bookkeeping – Level 1,2016,Counselling,MERIT,25534512,Bangladesh,9,NO,,25534512,5,BinneySt,Abbey Ward,Buckinghamshire,UK,BN12 6PR,5,BinneySt,Abbey Ward,Buckinghamshire,UK,BN12 6PR,Alba Mosseri,COUSIN,01543-198690,alba@gmail.com
3,MISS,France,Andrade,FEMALE,Turkey,RESIDENT,france.andrade@hotmail.com,01347-368222,NO,Japan,Bangladeshi,level 3 national certificate,level 3 ESOL,Regent's University London,"University of Essex, Colchester and Southend-on-Sea",N/A,AAT Access Award in Business Skills – Level 1,2016,History,PASS,23456798,Japan,10,YES,,23456798,8,MoorPlace,East Southbourne and Tuckton W,Bournemouth,UK,SN10 3DU,8,MoorPlace,East Southbourne and Tuckton W,Bournemouth,UK,SN10 3DU,Domonique Sandlin,COUSIN,01355-500797,domonique@hotmail.com
4,MR,Ulysses,Mcwalters,MALE,Mexico,RESIDENT,ulysses@hotmail.com,01912-771311,NO,Pakistan,Pakistani,tech level,level 3 certificate,Wrexham Glyndŵr University,University of Worcester,N/A,City & Guilds Level 1 Award in Computerised Accounts,2014,Complementary Medicine,MERIT,34563422,Pakistan,10,YES,,34563422,505,ExeterRd,Hawerby cum Beesby,Lincolnshire,UK,SL3 0PY,505,ExeterRd,Hawerby cum Beesby,Lincolnshire,UK,SL3 0PY,Rory Neufville,COUSIN,01252-621329,rory_neufville@neufville.co.uk
5,MR,Tyisha,Veness,FEMALE,Bangladesh,RESIDENT,tyisha.veness@hotmail.com,01547-429341,NO,United States,Roma,advanced apprenticeship,tech level,Sheffield Hallam University,"Foxhill House, home of the School of Law, at the University of Reading",N/A,City & Guilds Level 1 Award in Book-Keeping and Accounts,2016,Drama Dance and Cinematics,MERIT,45675398,United States,6,YES,,45675398,5396,ForthStreet,Greets Green and Lyng Ward,West Midlands,UK,WS9 8UR,5396,ForthStreet,Greets Green and Lyng Ward,West Midlands,UK,WS9 8UR,Dustin Klingaman,BROTHER,01712-135466,dklingaman@gmail.com
6,MISS,Eric,Rampy,MALE,Egypt,RESIDENT,erampy@rampy.co.uk,01969-886290,NO,Turkey,Any other ethnic group,level 3 NVQ,level 3 national certificate,University of Leeds,Sheffield Hallam University,N/A,Highfield Level 1 Award in Accounting (RQF),2016,Social Work,PASS,98765490,Turkey,4,NO,,98765490,9472,LindSt,Desborough,Northamptonshire,UK,SW15 2RP,9472,LindSt,Desborough,Northamptonshire,UK,SW15 2RP,Lyndia Moonshower,BROTHER,01469-300335,lyndia_moonshower@moonshower.co.uk
7,MR,Marg,Grasmick,FEMALE,Brazil,RESIDENT,marg@hotmail.com,01865-582516,YES,Iran,Gypsy or Irish Traveller,applied general,A level,"University of Westminster, London","The iconic King's College Chapel of the University of Cambridge (centre), built between 1441 and 1515",N/A,Highfield Level 1 Award in Computerised Payroll (RQF),2016,Electrical and Electronic Engineering,PASS,87643289,Iran,5,NO,,87643289,7457,CowlSt#70,Bargate Ward,Southampton,UK,CB22 3BB,7457,CowlSt#70,Bargate Ward,Southampton,UK,CB22 3BB,Jules Hiltner,BROTHER,01428-343825,jules@yahoo.com
8,MISS,Laquita,Hisaw,MALE,Philippines,RESIDENT,laquita@yahoo.com,01746-394243,YES,United States,Irish,level 3 national diploma,"music grades 6, 7 and 8","Heriot-Watt University, Edinburgh and Galashiels",Lancaster University,N/A,IAB  Level 1 Award in Computerised Bookkeeping,2016,Dentistry,PASS,65432189,United States,6,NO,,65432189,20,GloucesterPl#96,Chirton Ward,Tyne & Wear,UK,WF1 1DR,20,GloucesterPl#96,Chirton Ward,Tyne & Wear,UK,WF1 1DR,Dong Kopczynski,COUSIN,01770-129032,dkopczynski@kopczynski.co.uk
9,MISS,Lura,Manzella,FEMALE,Germany,RESIDENT,lura@hotmail.com,01907-538509,NO,India,Indian,level 3 award,applied general,University of Bath,The Old College of the University of Edinburgh,N/A,IAB  Level 1 Award in Bookkeeping,2014,Agriculture and Forestry,PASS,78534590,India,7,YES,,78534590,929,AugustineSt,Staple Hill Ward,South Gloucestershire,UK,TR9 6NJ,929,AugustineSt,Staple Hill Ward,South Gloucestershire,UK,TR9 6NJ,Justine Salta,BROTHER,01689-253476,justine_salta@yahoo.com
10,MISS,Yuette,Klapec,FEMALE,Japan,RESIDENT,yuette.klapec@klapec.co.uk,01903-649460,NO,United Kingdom,"Any other Black, Black British, or Caribbean background",level 3 diploma,level 3 national diploma,University College Birmingham[Note 1],Aberystwyth University,N/A,IAB Level 1 Award in Computerised Accounting for Business,2016,Medicine,PASS,67589076,United Kingdom,4,YES,,67589076,45,BradfieldSt#166,Parwich,Derbyshire,UK,PO33 1HH,45,BradfieldSt#166,Parwich,Derbyshire,UK,PO33 1HH,Chantay Kamens,COUSIN,01823-383806,ckamens@hotmail.com
11,MISS,Fernanda,Writer,MALE,Russia,RESIDENT,fernanda@writer.co.uk,01630-202053,YES,France,Any other White background,level 3 ESOL,AS level,York St John University,York St John University,N/A,IAB Level 1 Certificate in Bookkeeping and Payroll,2014,Civil Engineering,PASS,23489076,France,6,YES,,23489076,620,NorthamptonSt,Wilmington,Kent,UK,SS15 6LE,620,NorthamptonSt,Wilmington,Kent,UK,SS15 6LE,Tequila Chisum,BROTHER,01835-634521,tequila.chisum@chisum.co.uk
12,MISS,Charlesetta,Erm,FEMALE,United States,RESIDENT,charlesetta_erm@gmail.com,01276-816806,NO,Philippines,Chinese,access to higher education diploma,level 3 NVQ,"Roehampton University, London","Durham University, Durham and Stockton-on-Tees (Queen's Campus)",N/A,IAB Level 1 Award in Payroll for Business,2016,Communication and Media Studies,MERIT,45689076,Philippines,4,NO,,45689076,5,HygeiaSt,Loundsley Green Ward,Derbyshire,UK,SO41 1DL,5,HygeiaSt,Loundsley Green Ward,Derbyshire,UK,SO41 1DL,Maybelle Consolazio,BROTHER,01383-647035,mconsolazio@yahoo.com
13,MR,Corrinne,Jaret,MALE,Vietnam,RESIDENT,corrinne_jaret@gmail.com,01625-932209,NO,Ethiopia,Any other Mixed or multiple ethnic background,"music grades 6, 7 and 8",access to higher education diploma,University of Wales[Note 3],University of Exeter,N/A,Pearson LCCI Level 1 Certificate in Bookkeeping (VRQ),2016,Aeronautical and Manufacturing Engineering,MERIT,25534512,Ethiopia,2,YES,,25534512,2150,MorleySt,Dee Ward,Dumfries and Galloway,UK,HP21 8PP,2150,MorleySt,Dee Ward,Dumfries and Galloway,UK,HP21 8PP,Margarett Bairo,COUSIN,01670-813697,margarett@gmail.com
14,MISS,Niesha,Bruch,MALE,China,RESIDENT,niesha.bruch@yahoo.com,01874-856950,NO,Pakistan,Any other Asian background,AS level,level 3 award,University of Worcester,"University of South Wales, merger of University of Wales, Newport and University of Glamorgan",N/A,Skillsfirst Level 1 Award in Computerised Payroll for Business (RQF),2016,Physics and Astronomy,MERIT,23456798,Pakistan,5,NO,,23456798,24,BoltonSt,"Broxburn, Uphall and Winchburg",West Lothian,UK,LS9 7JH,24,BoltonSt,"Broxburn, Uphall and Winchburg",West Lothian,UK,LS9 7JH,Janessa Noonon,BROTHER,01472-324699,jnoonon@yahoo.com
15,MISS,Rueben,Gastellum,FEMALE,India,RESIDENT,rueben_gastellum@gastellum.co.uk,01976-755279,YES,Mexico,"English, Welsh, Scottish, Northern Irish or British",level 3 certificate,international Baccalaureate diploma,"University of Ulster, Belfast",Hazlerigg Building at the Loughborough University,N/A,Skillsfirst Level 1 Award in Computerised Accounting for Business (RQF),2014,Occupational Therapy,PASS,25534512,Mexico,6,NO,,25534512,4,ForrestSt,Weston-Super-Mare,North Somerset,UK,SK13 8BB,4,ForrestSt,Weston-Super-Mare,North Somerset,UK,SK13 8BB,Sol Cowser,BROTHER,01412-528394,sol@gmail.com
16,MR,Michell,Throssell,FEMALE,Iran,RESIDENT,mthrossell@throssell.co.uk,01967-580851,YES,Vietnam,White and Black Caribbean,international Baccalaureate diploma,level 3 diploma,University of Portsmouth,University of Bristol,N/A,Skillsfirst Level 1 Award in Payroll for Business (RQF),2014,Classics and Ancient History,PASS,23456798,Vietnam,5,NO,,23456798,89,NoonSt,Carbrooke,Norfolk,UK,CT2 7PP,89,NoonSt,Carbrooke,Norfolk,UK,CT2 7PP,Louann Smethers,BROTHER,01670-234959,louann@gmail.com
17,MISS,Edgar,Kanne,FEMALE,Ethiopia,RESIDENT,edgar.kanne@yahoo.com,01326-532337,YES,India,White and Black African,A level,advanced apprenticeship,"University of Buckingham, private",University of London,N/A,AAT Foundation Certificate in Accounting - Level 2,2016,Forensic Science,MERIT,34563422,India,8,NO,,34563422,99,GuthrieSt,New Milton,Hampshire,UK,HP11 2AX,99,GuthrieSt,New Milton,Hampshire,UK,HP11 2AX,Lindsay Yadao,COUSIN,01947-566661,lindsay_yadao@yadao.co.uk
18,MISS,Dewitt,Julio,MALE,Indonesia,RESIDENT,dewitt.julio@hotmail.com,01253-528327,NO,Ethiopia,White and Asian,level 3 national certificate,level 3 ESOL,Liverpool Hope University,University College Birmingham[Note 1],N/A,AAT Foundation Diploma in Accounting and Business - Level 2,2014,Chemical Engineering,PASS,45675398,Ethiopia,3,YES,,45675398,7,RichmondSt,Parkham,Devon,UK,BH6 3BE,7,RichmondSt,Parkham,Devon,UK,BH6 3BE,Malika Hanton,BROTHER,01532-497454,malika@gmail.com
19,MR,Charisse,Spinello,FEMALE,Pakistan,RESIDENT,charisse_spinello@spinello.co.uk,01719-831436,NO,Brazil,African,tech level,level 3 certificate,Aberystwyth University,University of York,N/A,AAT Foundation Award in Accounting Software – Level 2,2014,Information Technology,PASS,98765490,Brazil,9,YES,,98765490,9165,PrimroseSt,Darnall Ward,"Yorkshire, South",UK,DN36 5RP,9165,PrimroseSt,Darnall Ward,"Yorkshire, South",UK,DN36 5RP,Stefany Ferenz,BROTHER,01743-977277,stefany@hotmail.com
20,MR,Mee,Lapinski,MALE,France,RESIDENT,mee.lapinski@yahoo.com,01578-287816,YES,Egypt,Caribbean,advanced apprenticeship,tech level,Cardiff Metropolitan University (formerly University of Wales Institute Cardiff),University of Northampton,N/A,AAT Foundation Certificate in Bookkeeping - Level 2,2016,Nursing,PASS,87643289,Egypt,4,YES,,87643289,9,PengwernSt,Marldon,Devon,UK,B70 9DT,9,PengwernSt,Marldon,Devon,UK,B70 9DT,Abraham Cratch,COUSIN,01599-245408,acratch@gmail.com
21,MR,Peter,Gutierres,FEMALE,Nigeria,RESIDENT,peter_gutierres@yahoo.com,01842-767201,YES,Japan,Arab,level 3 NVQ,level 3 national certificate,"Royal Agricultural University, Cirencester","University of Westminster, London",N/A,ACCA  Diploma in Financial and Management Accounting (RQF Level 2),2016,Marketing,PASS,65432189,Japan,4,NO,,65432189,4410,TarltonSt,Prestatyn Community,Denbighshire,UK,NN14 2GH,4410,TarltonSt,Prestatyn Community,Denbighshire,UK,NN14 2GH,Giuseppe Rohaley,COUSIN,01345-400452,giuseppe@yahoo.com
22,MISS,Octavio,Salvadore,MALE,United Kingdom,RESIDENT,octavio.salvadore@yahoo.com,01552-709248,YES,Turkey,Bangladeshi,applied general,A level,University of Salford,University of Leicester,N/A,ATHE Level 2 Award in Contact Centre Operations in the Financial Services Sector,2014,Philosophy,MERIT,78534590,Turkey,7,YES,,78534590,6949,BourneSt,Lye and Stourbridge North Ward,West Midlands,UK,SO14 3TY,6949,BourneSt,Lye and Stourbridge North Ward,West Midlands,UK,SO14 3TY,Kiera Bassil,COUSIN,01655-519837,kbassil@bassil.co.uk
23,MR,Martha,Teplica,FEMALE,DR Congo,RESIDENT,mteplica@teplica.co.uk,01677-684257,NO,Germany,Pakistani,level 3 national diploma,"music grades 6, 7 and 8",University of Exeter,"University of Hertfordshire, Hatfield",N/A,CISI Level 2 Award In Fundamentals of Financial Services,2014,Film Making,PASS,67589076,Germany,8,NO,,67589076,148,RembrandtSt,Warlingham,Surrey,UK,NE29 7AD,148,RembrandtSt,Warlingham,Surrey,UK,NE29 7AD,Wendell Rubano,BROTHER,01837-530939,wendell_rubano@hotmail.com
24,MISS,Tamesha,Veigel,FEMALE,Turkey,RESIDENT,tveigel@veigel.co.uk,01217-342071,NO,Bangladesh,Roma,level 3 award,applied general,University of Bristol,University of Salford,N/A,CII Level 2 Award For The Foundation Insurance Test,2016,Education,PASS,23489076,Bangladesh,8,YES,,23489076,2200,NelsonSt#58,Newport,Isle of Wight,UK,BS16 4LL,2200,NelsonSt#58,Newport,Isle of Wight,UK,BS16 4LL,Stevie Stifflemire,COUSIN,01262-808399,stevie_stifflemire@stifflemire.co.uk
25,MISS,Tess,Sitra,MALE,Mexico,RESIDENT,tess_sitra@hotmail.com,01473-229124,NO,Nigeria,Any other ethnic group,level 3 diploma,level 3 national diploma,"Durham University, Durham and Stockton-on-Tees (Queen's Campus)",University of Wales[Note 3],N/A,CII Level 2 Award in Life and Pensions Foundations,2014,Youth Work,MERIT,45689076,Nigeria,2,NO,,45689076,61,RossettSt,Chichester,West Sussex,UK,DE6 1QN,61,RossettSt,Chichester,West Sussex,UK,DE6 1QN,Yun Paletta,COUSIN,01350-332706,yun_paletta@paletta.co.uk
26,MR,Leonard,Kufner,FEMALE,Bangladesh,RESIDENT,lkufner@kufner.co.uk,01230-623547,YES,Philippines,Gypsy or Irish Traveller,level 3 ESOL,AS level,University of London,"University of Essex, Colchester and Southend-on-Sea",N/A,City & Guilds Level 2 Award in Computerised Accounts,2014,Materials Technology,MERIT,25534512,Philippines,6,YES,,25534512,41,CanningSt,Steornabhagh a Deas Ward,Western Isles,UK,DA2 7PP,41,CanningSt,Steornabhagh a Deas Ward,Western Isles,UK,DA2 7PP,Brittani Thurm,BROTHER,01686-306597,bthurm@yahoo.com
